"SYMBOL","LPS_logFC","LPS_adjP","LPS_regulation","Sepsis_logFC","Sepsis_adjP","Sepsis_regulation","LPS_sig","Sepsis_sig","both_sig","same_direction","overlap_class"
"ADD2",-3.14040179543807,0.00361908823618485,"Down",-0.67554222972685,5.40100180211915e-09,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"MEGF6",-1.05184339678677,0.00361908823618485,"Down",-0.798731241397539,1.35351458243046e-10,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"NDUFS5",-1.00567760988717,0.00362502379663077,"Down",0.791753849558314,1.58024279539572e-13,"Up",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"WDR43",-1.09923329240332,0.00362527664812446,"Down",-0.554034009967245,1.83991784630155e-12,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"SCRN1",1.07363585402881,0.00363325244165332,"Up",-0.732265442876094,2.78491961416286e-12,"Down",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"DENND2D",-1.42180890415876,0.00363583312852312,"Down",-0.558071032393298,1.94765316520838e-12,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"ZFP28",-1.56071337325418,0.00363667484119442,"Down",-0.521018064191704,1.18424279896109e-07,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"SRC",1.45010695232704,0.0036374627209554,"Up",-0.555648044667064,3.20721289212909e-07,"Down",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"C2CD4B",6.13536697813038,0.00364142332760749,"Up",0.69688188826538,2.07787894400658e-07,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"CCN3",-3.03817711474933,0.00364206808843281,"Down",-2.09435311088367,3.84393268928325e-19,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"HEY1",6.70229417671414,0.00364206808843281,"Up",-0.76848935267411,2.17576422062081e-06,"Down",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"TESC",-2.01562762360215,0.00366818733067641,"Down",0.721351591463912,1.5036826714853e-07,"Up",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"ACVR1B",1.27677048813002,0.0036725489831295,"Up",0.78473122468192,1.07055372026116e-11,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"PRKCH",1.13028859218335,0.00368638312102154,"Up",-0.994086226456074,4.73810338277795e-17,"Down",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"URB1",-1.65505112555829,0.00369067160450453,"Down",-0.992311918399066,3.26874107538575e-21,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"LTA4H",-2.61820703836382,0.00369614731177209,"Down",1.05827573690389,7.80846631572484e-18,"Up",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"KAT2A",-1.99289843982977,0.00371086117943166,"Down",-0.623888727187317,4.03067816970726e-15,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"HDAC9",-1.35733956651803,0.00374368390699166,"Down",-1.01469612368866,5.1440866346631e-18,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"RAB13",1.25720974318443,0.00374806722291861,"Up",1.5823158738189,4.89739995766419e-22,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"ATIC",-1.6079914804258,0.00375211753477909,"Down",-0.580816060850176,2.36261212061953e-10,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"PYHIN1",-3.31855188927721,0.00378597872573462,"Down",-1.14337483026938,2.49898847489269e-12,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"SLC39A1",1.06123501341995,0.00378597872573462,"Up",0.699658553467788,5.81476595497962e-19,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"SETBP1",-2.30206201886653,0.00379193128229161,"Down",-0.825636152709389,1.33219811770183e-12,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"SLC8A1",1.3717675905005,0.00380964503153159,"Up",0.617386557689003,4.04959665999212e-09,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"GPR137",1.00612357915435,0.00381055465535229,"Up",0.533618215185345,6.06192868089526e-15,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"RNF125",-3.36994361616063,0.00386008014923902,"Down",-0.847449667027258,2.18919162281113e-18,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"ORAI2",1.30572717534554,0.00386221993849168,"Up",0.529025541619996,2.14069884262812e-08,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"CD209",1.28397385465411,0.00386497882810445,"Up",-0.689908137380135,8.17409964706144e-11,"Down",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"MSR1",-1.78776880772389,0.00386576785437421,"Down",0.651156729314774,0.000455916279995938,"Up",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"BTN3A1",1.72990045826968,0.00386576785437421,"Up",-0.583151892971499,9.2725811967102e-06,"Down",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"N4BP3",2.05522343293807,0.00387633607566536,"Up",-1.31009270436407,3.22254282632891e-20,"Down",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"SNX33",1.05425765679789,0.00387633607566536,"Up",-0.53437816865962,1.47030150071565e-07,"Down",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"RAPH1",-1.5936031886603,0.00388921991196395,"Down",-0.644482240193593,1.79951911621628e-08,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"EBF1",4.4572560630403,0.00391009110541643,"Up",-0.901997721645715,3.54196185738003e-11,"Down",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"STX10",-1.57889145014848,0.00393977858555671,"Down",0.715701401586479,5.30005182041138e-16,"Up",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"NXT2",1.3494054855732,0.00396172158438911,"Up",0.548154756555838,1.49319263300041e-06,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"SDHAF3",-2.02020884760204,0.00396921176312906,"Down",1.14038376735064,1.20928214587659e-13,"Up",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"ZNF677",-1.42586612649317,0.00399006413596182,"Down",-0.991598008690071,1.9133338178381e-17,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
