"SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulation"
"CCNA1",2.38346525624212,8.21465220172247,11.6515270451948,1.24669255527756e-18,2.83652098803258e-17,31.9458058547584,"Up"
"DHRS3",-1.09592641915097,10.9351948131886,-11.649419771117,1.25785768667532e-18,2.85853741505636e-17,31.9369460221074,"Down"
"TRIM65",-0.619255603968677,11.8946693120628,-11.6424827102883,1.29532840724344e-18,2.93674042553669e-17,31.9077764816274,"Down"
"ZNF320",-0.622572417199314,10.3564141903551,-11.6367918931101,1.32690454125845e-18,3.00478159266344e-17,31.8838434402316,"Down"
"DHRS13",1.11593965137534,13.608768003472,11.6327744867722,1.34966075568426e-18,3.052713249871e-17,31.8669459524327,"Up"
"ANKS6",-0.99369050739775,9.71558503538659,-11.6322412260813,1.35271072917855e-18,3.05601225087244e-17,31.864702892712,"Down"
"DISP1",-0.697145719463527,8.03506198558531,-11.6290536588618,1.37108708903788e-18,3.09388782265504e-17,31.851294369309,"Down"
"HDAC4",0.670964590823817,14.0223200664588,11.626394001255,1.38661209103696e-18,3.12524788546745e-17,31.8401056783396,"Up"
"ARHGEF9",-0.86224503357323,10.8506576445896,-11.6245456395109,1.39750541537826e-18,3.14274745587503e-17,31.8323295192739,"Down"
"TLR2",0.968593312297336,16.0981532800752,11.6245212893611,1.39764949607732e-18,3.14274745587503e-17,31.8322270744488,"Up"
"KLHL25",-0.980470969360024,9.19304161361088,-11.6048999325232,1.51874568223274e-18,3.40898681659254e-17,31.7496566485621,"Down"
"NFIL3",0.943871413926487,13.9000609507718,11.6047667803888,1.51960251783743e-18,3.40898681659254e-17,31.7490961801156,"Up"
"MAFG",0.979855502959174,13.0758646289858,11.6031196222918,1.53024230002551e-18,3.42884981183078e-17,31.7421627522828,"Up"
"SMARCD3",1.19363932103696,13.2303958746693,11.597135220096,1.56953306408051e-18,3.51279060950327e-17,31.7169700382121,"Up"
"PRDM15",-0.773842346598414,10.5572461972152,-11.5961847265852,1.57586628415677e-18,3.52285916817957e-17,31.712968370691,"Down"
"FSTL3",1.05033550421009,10.4831549153548,11.5942211899013,1.5890310183701e-18,3.54815844718151e-17,31.7047013945892,"Up"
"POC1A",0.823349925984693,9.01520679191043,11.5929385660042,1.59769017940274e-18,3.56335011789441e-17,31.6993010110577,"Up"
"POLR2J",0.672070425810441,12.6730787465112,11.5924509931749,1.6009942840081e-18,3.56657694150899e-17,31.697248079948,"Up"
"SOX13",-1.36338403033773,9.47062885588481,-11.5910188541861,1.6107391694804e-18,3.58412795730383e-17,31.6912178973884,"Down"
"HPS4",-0.559757247518469,11.8370324440612,-11.5903551900251,1.61527523272489e-18,3.59006137662224e-17,31.6884233915408,"Down"
"TPP2",-0.54065887875124,12.7686325984053,-11.5843724711196,1.65675083152189e-18,3.67373974800403e-17,31.6632297307062,"Down"
"DEDD",0.526753408305067,13.2656666691259,11.583922065674,1.65991631938007e-18,3.67651361949891e-17,31.6613328886816,"Up"
"CEBPB",1.14527824334747,16.7912715982126,11.5808123921331,1.68193800067958e-18,3.72099716901497e-17,31.6482361970297,"Up"
"SLC12A9",0.765160256173446,16.3193756345316,11.5687595488376,1.77010526416984e-18,3.91154561425242e-17,31.5974648928972,"Up"
"NTN4",-0.960579498769828,5.81791067698099,-11.5679675637199,1.77605887733679e-18,3.92019064614925e-17,31.5941282077933,"Down"
"IL18R1",1.78426636093612,13.3702222170688,11.5638188876399,1.80757652969046e-18,3.98060689216122e-17,31.576648491038,"Up"
"HIP1R",-0.968897925596133,12.1514064896174,-11.5632482034751,1.81195583410515e-18,3.98156553227056e-17,31.5742438727624,"Down"
"AP1S1",0.68046996172452,11.4422985359291,11.5632218060432,1.81215866021167e-18,3.98156553227056e-17,31.5741326444829,"Up"
"SLC1A3",2.29181225937847,8.93562396544664,11.5579492245727,1.85313209276886e-18,4.06693663742176e-17,31.5519146218378,"Up"
"ZNF570",-0.656844678970832,9.3614361051028,-11.5567784204622,1.86235616128236e-18,4.08251431108506e-17,31.5469806000561,"Down"
"RRP1B",-0.825900710844668,12.2137750751623,-11.5539639660472,1.88471895789522e-18,4.12682533049737e-17,31.5351192942532,"Down"
"HYAL2",0.989802020939604,10.813303209191,11.5533783971174,1.88940554726935e-18,4.13237525332727e-17,31.5326513541691,"Up"
"SLC11A1",1.13055897030364,17.0500794383456,11.5486269600012,1.92786961661092e-18,4.20691820997493e-17,31.5126246128997,"Up"
"TESPA1",-1.18053819988638,12.6740356160199,-11.5444180455843,1.96259923074364e-18,4.27784256844156e-17,31.4948825721022,"Down"
"AQP9",1.06064612932877,17.7890889201024,11.5435011167279,1.9702483088013e-18,4.28964606280174e-17,31.4910171523575,"Up"
"TCN2",1.31851183767489,11.395685772349,11.5404190754603,1.99617935745378e-18,4.34118144973781e-17,31.4780238081112,"Up"
"HLCS",-0.770498410216888,10.0406594879017,-11.5368785884446,2.02639154930173e-18,4.4019001042128e-17,31.4630965154688,"Down"
"GLT1D1",0.964248570945416,15.340609285702,11.5346307471602,2.0458114221868e-18,4.43906403844667e-17,31.4536185584765,"Up"
"UBE2J1",1.01348424834074,14.9578555983631,11.5327343511298,2.06234055023747e-18,4.46987873433523e-17,31.4456220510199,"Up"
"SPIN3",-0.925148992846201,9.87351179962724,-11.5283759649767,2.10083947984406e-18,4.54818720760378e-17,31.4272426848703,"Down"
"P3H2",-0.870023230071098,5.48049092917462,-11.5268770080814,2.11424660044899e-18,4.57205827347094e-17,31.4209211092714,"Down"
"CFAP44",-0.946437951498594,9.86503388106595,-11.5253461363942,2.12802800834703e-18,4.59668412196716e-17,31.4144646978004,"Down"
"TGFBR3",-1.61550843082209,11.0263316731409,-11.5201719719985,2.17527982031593e-18,4.69347172916031e-17,31.392640991796,"Down"
"PRKCH",-0.994086226456074,13.4783645345554,-11.5176778208867,2.19843259597727e-18,4.73810338277795e-17,31.3821201124949,"Down"
"NFATC1",-0.524810078046138,12.3511409403277,-11.516571812596,2.20877865029895e-18,4.75125828922752e-17,31.377454519028,"Down"
"ATP5ME",0.662133622649151,10.7029339591433,11.5163492491634,2.21086651116947e-18,4.75125828922752e-17,31.3765156404732,"Up"
"ZNF566",-0.775585265292214,9.62819899257774,-11.5162328730355,2.21195902232433e-18,4.75125828922752e-17,31.3760247084954,"Down"
"EIF1B",0.814148097379926,13.6238195877118,11.5151035294159,2.22258927204509e-18,4.76875774202032e-17,31.3712605064175,"Up"
"PRDX5",1.00607250980309,14.8639227649275,11.5048838763663,2.32115155028963e-18,4.97467335047006e-17,31.3281422901175,"Up"
"NUDT22",0.547441250352675,12.7820068385487,11.5017564989705,2.35218291302421e-18,5.03555947366821e-17,31.3149452639025,"Up"
"CD28",-1.26743279076522,12.3402386375189,-11.4960737366251,2.40964199234942e-18,5.15282351660199e-17,31.2909623368965,"Down"
"MRPL28",0.680439044835946,13.0432969972361,11.4953119054737,2.41745152535398e-18,5.16377326377892e-17,31.287746931724,"Up"
"CD5",-1.33636917773151,12.9996665997908,-11.4901936845104,2.47058256544615e-18,5.27139966714026e-17,31.266143274916,"Down"
"SEMA4A",1.0664798016203,15.1685662894855,11.4898985874367,2.47368146387165e-18,5.2721537348199e-17,31.264897608068,"Up"
"TRAF5",-1.10326655856311,12.266330399508,-11.4860908085494,2.51402048052842e-18,5.35218794762608e-17,31.2488233656798,"Down"
"TNFRSF21",-1.14119580588654,6.96470809551744,-11.4854795176934,2.52055775470097e-18,5.36016285310329e-17,31.2462427094856,"Down"
"ELOB",0.945447387084162,13.9355430034511,11.4818302396636,2.55994114530284e-18,5.43188395726523e-17,31.2308359320785,"Up"
"SARM1",-0.846231065126633,11.6982506702184,-11.4785828328369,2.59550765432964e-18,5.50127301170995e-17,31.2171246480671,"Down"
"PPP1R16B",-1.10674084453425,12.7511143487562,-11.4778887385393,2.60317380147161e-18,5.50776199737729e-17,31.2141938844347,"Down"
"YLPM1",-0.611625608983426,12.7434738833655,-11.4777864465554,2.60430552185522e-18,5.50776199737729e-17,31.2137619596372,"Down"
"RNF167",0.504258822580371,15.0907951177856,11.4774254837172,2.60830303551873e-18,5.51014776579385e-17,31.2122377963938,"Up"
"XRCC4",1.3135135802151,9.77575949774456,11.476719066701,2.61614417621005e-18,5.52063918854524e-17,31.2092549162862,"Up"
"TYROBP",0.95806443126753,17.0247894964075,11.4741908609932,2.64440170645766e-18,5.57414335555505e-17,31.1985790239633,"Up"
"CUTC",0.833813079776647,11.6065624396882,11.472279824869,2.66596472688623e-18,5.60728594199302e-17,31.1905088262104,"Up"
"NLRC3",-1.26553436100264,13.2507191762842,-11.4712025729999,2.67819765741226e-18,5.62685225550192e-17,31.1859594866731,"Down"
"TRMT44",-0.546154706703332,10.1776140780123,-11.4696988780111,2.69536759768722e-18,5.65056156969299e-17,31.1796090366535,"Down"
"SRP14",0.850605860718106,14.0337403023515,11.4667814932204,2.728996156551e-18,5.71482150428013e-17,31.167287585901,"Up"
"FFAR3",2.39227939310052,9.21836244967601,11.4644036718747,2.75671708950801e-18,5.76030884328861e-17,31.1572443111693,"Up"
"PRKX",-0.80724949364672,12.6758696183692,-11.4571010329921,2.84363524674116e-18,5.93547039599679e-17,31.1263963068992,"Down"
"KIAA1328",-0.81500071026756,8.8200790119399,-11.452185142057,2.9036927006962e-18,6.05424657236364e-17,31.1056273852388,"Down"
"VSIG1",-1.17776362019575,9.93616677192134,-11.4511213686764,2.91685580243853e-18,6.07509565880988e-17,31.1011327718099,"Down"
"MCF2L",-1.23424808362317,8.94868212263936,-11.4486295943942,2.94792435390146e-18,6.13315182751569e-17,31.0906041711193,"Down"
"TMLHE",0.720983956249172,10.6656332240831,11.4479166469421,2.95687478152368e-18,6.1451154144588e-17,31.0875916066265,"Up"
"DCHS1",-1.37347295284646,9.66244548047888,-11.446063919835,2.9802621423462e-18,6.18702420751071e-17,31.0797626516883,"Down"
"ZNF599",-0.800685132924368,8.42005297714734,-11.4436935596134,3.01045516638383e-18,6.24295578402469e-17,31.0697458538025,"Down"
"NIPAL3",-0.871103756425636,12.2166021394981,-11.4425656312182,3.02493025327266e-18,6.26620665087323e-17,31.0649791903259,"Down"
